corpus: preloaded/doaj_en
subcorpus: -
size: 10000
query: Query:[word="we"] []? [word="aimed|wanted"] [word="to"] [tag="VV"], Random sample:10000
International Journal of Collaborative Research on Internal Medicine & Public Health | <s> In order to find avenue for prevention, we aimed to measure the prevalence of cardiovascular risk factors among patients undergoing elective CABG in Karachi, Pakistan. </s> 
Iranian Journal of Toxicology | <s> With regard to the diversity of envenomation profiles in different geographical parts of Iran, we aimed to evaluate the demographic characteristics, clinical and paraclinical manifestations of snakebites in victims referred to a tertiary poisoning center in Tehran, the capital of Iran, during a four-year period. </s> 
PLoS Computational Biology | <s> First, we wanted to establish how mutual information computations depend on the ability to simultaneously measure different quantities in a circuit (e.g. Y1 and Y2 versus Y2 alone). </s> 
PLoS ONE | <s> To fill this knowledge gap, we aimed to determine whether differences existed in statin usage and LDL-C target-goal attainment in T2DM patients with or without stable CAD between the cardiology and endocrinology departments at the same tertiary hospital, mainly including Chinese Han patients living in Southeast China. </s> 
PLoS ONE | <s> Therefore, we aimed to examine the influence of cognitive expertise on four networks associated with cognitive task performance: the default mode network (DMN) and three other cognitive networks (central-executive network, dorsal attention network, and salience network). </s> 
PLoS ONE | <s> BEAF-binding sites are enriched in 59 UTRs and in the first 200 bp upstream of gene TSS [40,41] so we wanted to take the analysis one step further and examine the relationship between the presence of a BEAF motif and the induction of the associated gene during HS. </s> 
International Journal of Molecular Sciences | <s> In the present study, we aimed to examine the effects of MTDH silencing on HCC cell viability in vitro and tumor growth in vivo. </s> 
PLoS ONE | <s> Induction of GFP expression in CB2-GFPtg splenocytes As our data revealed high expression of CB2 on splenic B cells, we wanted to test whether CB2 expression was regulated during pro-inflammatory stimulation. </s> 
PLoS ONE | <s> Enclosures at Sea vs. Pond In autumn, we aimed to compare growth and survival of juvenile sea cucumbers over 5 weeks in coarse-mesh enclosures in an earthen pond with those placed in the sea within sheltered bays. </s> 
PLoS ONE | <s> Since Neurog1 misexpression in hair cell precursors lacking Atoh1 can elicit expression of some genes within organ of Corti precursors (Fig. 5d'', d'''', e'', e''''), we next wanted to evaluate a more extensive panel of genes that affect the prosensory development of the inner ear. </s> 
PLoS ONE | <s> Beyond these possible outcomes, we wanted to understand further the necessity of availability of Atoh1 protein to drive hair cell differentiation without activation by a positive feed-forward mechanism that utilizes a cis-enhancer element. </s> 
Disease Markers | <s> Therefore, in this study, we aimed to evaluate the impact of the PDCD6IP 15 bp I/D polymorphism on BC susceptibility in a sample of Iranian women. </s> 
PLoS ONE | <s> Furthermore, we wanted to evaluate whether the behavioral changes produced by sugar overconsumption were specific to alterations that occur during adolescence, or whether sugar overconsumption by adult rats would also produce behavioral changes later in adulthood. </s> 
PLoS ONE | <s> Hence, we wanted to study the functional similarities of RcMADS1 to AGL24 by generating transgenic plants ectopically expressing RcMADS1 in the late flowering FRI-containing Col line. </s> 
PLoS ONE | <s> Thus, we wanted to rule out flagelladependent secretion of CosR under biofilm and DNA release- </s> 
PLoS ONE | <s> Thus, we aimed to apply our established model of hepatocyte transplantation [13] in NEMODhepa mice. </s> 
PLoS ONE | <s> The theoretical framework in our case is represented by the specific questions that we aimed to satisfy through the review. </s> 
BMC Biology | <s> Because the Fz protein family can function as receptors of Wnt proteins, we wanted to test if any known Wnt protein is similarly required for insulin -positive cell migration. </s> 
The Scientific World Journal | <s> Taking the role of IL-18 in VL pathogenesis and the effect of known polymorphisms in the promoter region in affecting its expression levels, we wanted to investigate the relationship between IL-18 gene variants and susceptibility and/or protection to Leishmania infection in North Indian population. </s> 
ISRN Urology | <s> Therefore, we aimed to conduct a Cochrane level systematic review of the literature to establish the role of finasteride use prior to TURP. </s> 
Forests | <s> Government Policy It is important to note that while government policy directly affects many other variables, we wanted to use studies that explicitly measured the effects of government policy of forestland loss or gain. </s> 
Obstetrics and Gynecology International | <s> In the present research, we aimed to investigate the predictors related to the success of different treatment modalities for EP. </s> 
PLoS ONE | <s> Therefore, in the present study, we aimed to simulate a situation in which the same reader (situation 1) and different readers (situation 2) performed follow-up CT measurements, with the initial CT scans placed side-by-side along with prior measurement data, using two sameday repeat CT scans. </s> 
PLoS ONE | <s> Progressive weight trends predict development of BGS While body weight and serum albumin provide a way to identify BGS prior to death, we wanted to identify a marker that could predict development of disease well before the terminal stage. </s> 
HAYATI Journal of Biosciences | <s> In this paper, we wanted to observe whether processing compost of tobacco plant debris would inactivate TMV. </s> 
PLoS ONE | <s> Furthermore, we aimed to study the tumorigenic potential of tubular HIF-2a overexpression in a novel mouse model. </s> 
PLoS ONE | <s> Beyond providing a complete explanation for the complex phenomenology related to the spread of adoptions, in this work, we aimed to expand the sources of empirical information related to the field of social dynamics. </s> 
ISRN Oncology | <s> Due to the relatively large proportion of patients with adverse events in both the gefitinib- and placebo-treated groups, we wanted to investigate if the toxicity seen could be related to genotypic determinants of docetaxel metabolism. </s> 
BMC Pregnancy and Childbirth | <s> Therefore, we aimed to produce updated charts using more recent data from 1998–2003. </s> 
ISRN Organic Chemistry | <s> We were not very happy with this result also; we still wanted to increase the yield of the product and hence, taking ethyl acetoacetate and resorcinol as a model reaction, we varied the amount of the catalyst used in the reaction. </s> 
PLoS ONE | <s> As AIC does not give P-values and to test for significant effect of factors in the best model, using x2 tests we compared the deviance between the best and a candidate model without the studied factor for which we wanted to assess the Pvalue. </s> 
PLoS ONE | <s> Modularity and Centrality Analyses Linking Nicotine with Abnormal Embryonic Development Once the CPI network was generated (Fig. 7), we aimed to understand which major protein clusters might be present. </s> 
PLoS ONE | <s> In light of the above, we aimed to use the P3a (but not exclude the N170, N2b and P3b) as an objective measure in exploring how the parental attachment relationship modulates ERP patterns in response to the father's and mother's face, while separately measuring the electrophysiological response and attachment qualities with the parents. </s> 
PLoS Computational Biology | <s> Term Communities Can Be Used to Evaluate and Predict Genetic Function Finally, we wanted to test how our communities might be used in one common application of the Gene Ontology: functional enrichment analysis. </s> 
PLoS ONE | <s> Abstract In this exploratory neuroimaging-proteomic study, we aimed to identify CSF proteins associated with AD and test their prognostic ability for disease classification and MCI to AD conversion prediction. </s> 
American Journal of Applied Sciences | <s> In the present work, we aimed to find penetration depth of protons and alpha particles by combining a suitable stopping power mechanism with the ion range calculation method. </s> 
PLoS ONE | <s> In our previous research directly combining expression data from different sources proved a valuable asset for reconstructing transcriptional networks [33,34,35], and here we wanted to take the principle of direct cross-platform integration to a higher level by generating large scale expression compendia with a broad applicability for biological discovery. </s> 
Atmospheric Measurement Techniques Discussions | <s> It was neither possible to link up all instrument to a common inlet (e.g. the wet chemistry instruments do not use an inlet tube), nor was this the purpose of the experiment, in which we wanted to test independent systems with the respective inlets as they would have been operated by the different groups in the field. </s> 
ISRN Obstetrics and Gynecology | <s> In this study we aimed to evaluate and compare the efficacy of intramuscular tramadol and pentazocine in the first stage of labour. </s> 
PLoS ONE | <s> Bmi1 enhances pancreatic cancer cell tumorigenicity in vivo Since our in vitro studies suggested that Bmi1 plays a regulatory role in pancreatic cancer cell proliferation and invasion, we wanted to address the biological significance of these results in an in vivo orthotopic model of pancreatic cancer. </s> 
PLoS ONE | <s> IL-21R signaling suppresses IL-17-associated cytokine production in the lung after IAV infection In addition to evaluating IAV-induced adaptive immune responses, we wanted to probe potential IL-21R-dependent changes in the production of soluble mediators that could influence the inflammatory responses in the respiratory tract. </s> 
Ovidius University Annals, Series Physical Education and Sport/Science, Movement and Health | <s> Research organization To this end, we developed a structured questionnaire based on 14 questions of which one open (question No. 3) and also 4 questions to identify subjects (personal variables) that we wanted to determine the social status of female students (gender, age, year of study, group, environment of residence). </s> 
PLoS ONE | <s> In this study, we aimed to identify the incidence of ROS1 rearrangement and evaluate clinicopathological features associated with ROS1 rearrangement in GBM patients. </s> 
Canadian Respiratory Journal | <s> We were hiding in the upper section of the arena because we wanted to avoid being seen at a meeting organized by the 'Co-Operative Commonwealth Federation', precursor of the New Democratic Party, and the Canadian Communist Party. </s> 
PLoS ONE | <s> In this study, we aimed to investigate whether gaze position affects movements that are performed under full-vision but cannot be corrected based on a direct comparison between the hand and target position. </s> 
PLoS ONE | <s> In this study, we wanted to define an appropriate WC-Co NP dosage for acute exposure, which would be representative of a cumulative WC-Co NP inhalation in an industrial environment. </s> 
INCAS Bulletin | <s> EXPERIMENTAL RESULTS Through the conducted researches, we wanted to ascertain through theoretical – experimental way, some mathematical models usable in practice, that would include explicitly and simultaneously the influence of all structural elements on the elasticity module of glass E/epoxy laminates. </s> 
INCAS Bulletin | <s> Based on mathematical models we also wanted to create an algorithm and a computing programme regarding the designing of L.C.M. optimum structure, so they should have certain imposed properties. </s> 
PLoS ONE | <s> DBA and C57 mice had similar presynaptic dopamine dynamics and autoreceptor sensitivity in the NAc core Because we found robust differences in dopamine-mediated behaviors, we aimed to determine if there were differences in striatal dopamine system functioning between strains at baseline. </s> 
PLoS ONE | <s> Next, we aimed to determine if differences between strains were present in the CPu. </s> 
PLoS ONE | <s> Accordingly, we wanted to examine if we could take advantage of this increase in Cx43 expression and intercellular communication in the OA joint to efficiently deliver siRNA-mediated gene therapy to cells of the joint, using hMSCs as a vehicle to both transport and deliver the siRNA as well as to serve an </s> 
PLoS ONE | <s> Based on RORγt expression and STAT3 activation in CD4+ T cells following coculture, we aimed to determine if cytokines characteristic of Th17 signature immune response were also modulated by the coculture. </s> 
PLoS ONE | <s> Baicalein Treatment After the Development of Asthma Symptoms Reduces Airway Hyperresponsiveness and Airway Inflammation Since baicalein showed anti-asthma effect in the preventive model, we wanted to test its efficacy in a therapeutic model. </s> 
PLoS ONE | <s> Since it has been shown that SV40 T-antigen can induce AMPK activation during periods of glucose starvation [18], we also wanted to investigate the role of JCV T-antigen in glucose deprivation-induced AMPK activation. </s> 
PLoS ONE | <s> More specifically, and given that the materials for this particular project were not developed with a specific target group in mind, we wanted to explore possible differences in terms of how they were perceived by distinct audiences, thus identifying trends that might be useful in future initiatives of a similar nature. </s> 
Geologija | <s> In addition to this, we wanted to find out, whether the brecciation phenomenon was related to tectonic activity. </s> 
Clinical Medicine Insights: Cardiology | <s> In this study we aimed to investigate the clinical outcome of pregnant women undergoing PTMC and to assess the neonate condition after one month. </s> 
Nursing Research and Practice | <s> First, we wanted to know how the social reality of bullying in the workplace came together for nurses and second what are the elements and organization of their reality. </s> 
Srpski Arhiv za Celokupno Lekarstvo | <s> edge of nurses, we wanted to see what their position and knowledge of the legacy organs was, and to what extent they were ready to raise awareness of the importance of the transplantation process by setting an example. </s> 
PLoS ONE | <s> In the present study, we aimed to detect QTLs underlying lint yield and its components, and to identify the favorable alleles in an AM panel composed of 356 accessions. </s> 
PLoS ONE | <s> Therefore, we aimed to study the changes in blood and specifically lung glucocorticoid availability to cope with inflammation and the lung injury associated in CBG deficient mice with acute pancreatitis. </s> 
International Journal of Agronomy | <s> Secondly, we wanted to determine the germination response of field-sown S. obtusifolia seeds to light and temperature over a 12-month period. </s> 
PLoS ONE | <s> In this study we aimed to understand the views of ORs as many will become PIs in the future. </s> 
PLoS ONE | <s> Since there was unfolding of cTnC helices in first simulation we wanted to show that the unfolding was due to the PLOS ONE | www.plosone.org </s> 
PLoS ONE | <s> Finally, we aimed to find out the cytokine profile at the level of the inflammatory lesions, by measuring cytokines is pus. </s> 
Human Technology: An Interdisciplinary Journal on Humans in ICT Environments | <s> While we envisaged producing a mosaic montage as the most artistic output, we wanted to investigate how well the images were able to actually communicate information to observers. </s> 
Nutrients | <s> In this study, we aimed to identify specific changes in the caecal microbiota associated with colonic inflammation in these mice. </s> 
PLoS Neglected Tropical Diseases | <s> Since various classes of small RNAs have been implicated in modulating DENV infections in its mosquito vectors, we aimed to characterize the repertoire of virus and host-derived small RNAs in Aedes aegypti Aag2 cells. </s> 
PLoS ONE | <s> in migration of neural crest cells and neural crest-derived cells, we wanted to determine whether Src family kinases (SFKs) are also necessary for migration of neural crest cell and their derivatives in vivo. </s> 
PLoS ONE | <s> Since Src and Tks5 are required for the formation of invadopodia in cancer cells, we wanted to determine whether these podosome structures in neural crest stem cells were also dependent on SFK activity and Tks5. </s> 
Evidence-Based Complementary and Alternative Medicine | <s> So we wanted to see if Bacopa monnieri can improve cognition in the group of medical students with already high cognitive functions. </s> 
PLoS ONE | <s> First, we aimed to focus on the prognostic factors considered in the AJCC staging classification. </s> 
Annales Geophysicae | <s> Herein, we just wanted to point out the coexistence of these phenomena. </s> 
PLoS ONE | <s> In this study, we aimed to elucidate the specific V. cholerae protein export machinery involved in VCC secretion by tracking intra- and extra-cellular translocation of VCC. </s> 
PLoS ONE | <s> However, since CLR functions during bacterial infections have not yet been investigated thoroughly, we aimed to examine their function in Streptococcus pneumonia infection. </s> 
PLoS ONE | <s> In this study we aimed to examine the nature of sensory memory by looking at its perceptual characteristics. </s> 
PLoS ONE | <s> Second, we wanted to determine whether joining the model school results from a tendency to indiscriminately follow any moving stimulus. </s> 
PLoS ONE | <s> Specifically, we wanted to answer the following questions: Do sticklebacks from alternative habitats differ in their tendency to school? </s> 
PLoS ONE | <s> In this study we aimed to characterise exosomes secreted by CLL cells, examine their potential effects on the microenvironment, as well as explore the nature of their miR content. </s> 
PLoS ONE | <s> In this case, the results would depend on the amount of time and effort the planning physicist or dosimetrist takes for each scenario, which is what we explicitly wanted to avoid . </s> 
BioMed Research International | <s> Furthermore, given the heterogeneity in RBC populations from one donor [26, 27], we also aimed to obtain data at a single-cell level. </s> 
Cell Journal | <s> In this study, we aimed to identify appropriate reference gene for microRNA quantification in serum samples of SM victims. </s> 
PLoS ONE | <s> As we wanted to preserve the structure of this alpha-helix but disturb possible interactions, we made substitutions that significantly changed the physical-chemical nature of the amino acid residues but did not affect the formation of this a-helix. </s> 
Journal of Electrical and Electronics Engineering | <s> In this first part of our work we aimed to investigate corruption that acts as a financial constraint on SMEs, decreasing their chances of growth and consolidation, affecting business and economic outlook, reducing society confidence in institutions and honest business. </s> 
PLoS ONE | <s> In the present study, we aimed to develop an NGSbased method to detect low-abundance somatic GNAS mutations. </s> 
PLoS ONE | <s> E-cadherin Ubiquitinylation is Stimulated by IFNc and is Dependent upon Fyn and Hakai Next we wanted to identify factors that may promote the internalization of tyrosine phosphorylated E-cadherin. </s> 
Journal of Ophthalmology | <s> While age and sex differences should be considered when performing disease diagnostics, this is not the main scope of this study as we aimed to analyze measurements from two different OCTs within the same subject. </s> 
PLoS ONE | <s> Subtype specific genes are responsible for AC and SqCC phenotypes Next, we aimed to confirm that the genes differentially disrupted at the genomic and epigenomic level are responsible for the different biological characteristics of AC and SqCC. </s> 
PLoS ONE | <s> Here, we aimed to clarify the association between neural activation and behavioral performance levels in older adults during performance on a working memory task. </s> 
PLoS Computational Biology | <s> Next, we wanted to test whether the feasible set of EFMs differs from the infeasible set in terms of reaction rates. </s> 
PLoS ONE | <s> This is because we wanted to compare the two extreme groups, namely, those associated with either the most intractable or the most tractable outcomes of the conversation. </s> 
PLoS ONE | <s> By using a proteomic approach, we aimed to identify novel predictors for lymph node metastasis in lung adenocarcinoma. </s> 
International Journal of Environmental Research and Public Health | <s> Specifically, we aimed to assess changes in satisfaction from various life domains, and whether there was a positive change due to (a) the course phase and (b) the integration in the army unit phase. </s> 
PLoS ONE | <s> Here, we wanted to see if N-cadherin substrate can replicate similar sorting effect in order to enrich neuronal progenitors by eliminating undifferentiated cells. </s> 
PLoS Medicine | <s> In view of this situation, we therefore aimed to develop and evaluate the diagnostic accuracy of easy-to-perform rapid diagnostic tests (RDTs) for the specific and sensitive detection of meningococcal PS serogroup antigens that can be used in resource-poor countries, especially near rural populations and at the patient's bedside. </s> 
PLoS ONE | <s> In this study, we wanted to elucidate the migratory behavior of the straw-colored fruit bat, E. helvum, in sub-Saharan Africa based on fur material from museum specimens collected over the course of the last century. </s> 
Psihološka Obzorja | <s> In our study we aimed to analyze , by means of the Big Five Questionnaire (BFQ) and the Coping Responses Inventory (CRI), the personality profiles, stress-coping strategies and the relationship between them among Slovenian military pilots. </s> 
Psihološka Obzorja | <s> In our study, we aimed to identify the personal characteristics of Slovenian military pilots and compare them to appropriate control groups. </s> 
Sensors | <s> Although other algorithms have been used previously for the same task, we wanted to try to create a novel algorithm for driver vigilance detection using sparse representation classification and KSVD. </s> 
PLoS ONE | <s> As part of the EU-funded joint research project "MicroBioMed" (Microtechnologies for biomedicine applications), we aimed to identify novel putative protein biomarkers for later integration into a micro-fluidic chip system suitable for early cancer detection or disease monitoring. </s> 
PLoS ONE | <s> By performing receiver operating characteristic (ROC) statistics we further aimed to determine the clinical performance of AGR3 as a putative biomarker for breast cancer detection. </s> 
PLoS ONE | <s> In the course of this study we aimed to identify novel serum protein biomarker candidates with sufficient clinical specificity and sensitivity that can be integrated into a lab-on-chip system. </s> 
PLoS ONE | <s> egl-30 loss-of function mutants generally move very little and we wanted to quantify the small movements of the nose as precisely as possible. </s> 
PLoS ONE | <s> In our study, we aimed to investigate whether sites with poorer in species are subsets of sites with richer in species, so we reported the indices of NODF for sites in our study. </s> 
Biogeosciences Discussions | <s> Nevertheless, since we aimed to test this hypothesis with the measurements, we used the same prior distributions for the decomposition rate coefficient of both pools (mode at 0.04 yr−1 ; Fig. 3b). </s> 
PLoS ONE | <s> Since other investigators determined that caffeine does not provide a significant stimulation of planarian motility we aimed to use the system to assess whether guarana provides an added stimulus over caffeine alone [47, 50]. </s> 
PLoS ONE | <s> Therefore, we aimed to develop a novel prognostic model for ENKTL that includes inflammatory biomarkers. </s> 
Iranian Journal of Ophthalmology | the poor microbial isolation make the diagnosis difficult moreover the treatment is even more challenging due to the cystic nature of Acanthamoeba which makes it resistant to the conventional antimicrobial treatments.7 Physicians must consider AK in case of atypical keratitis based on clinical suspicion, and the diagnosis must be confirmed by laboratory tests including confocal microscopy, polymerase chain reaction, or cultures with positive results after corneal scraping or biopsy.3 Epidemiologic findings provide us with more knowledge on AK risk factors and help to find appropriate preventive strategies1; hence, in this study we aimed to investigate patients with AK in Farabi Eye Hospital of Tehran considering its associated risk factors. </s> 
Atmospheric Chemistry and Physics | <s> Since we also wanted to examine larger-scale meteorological features without the influence of the fine-scale resolution provided by D3, we performed two other simulations, one using only D1 and D2 with two-way nesting, and the other only D1. </s> 
International Journal of Spectroscopy | <s> In this study, we aimed to determine whether the above DBPs have an "aminoxy" or a "halohydrin" structure by performing additional GC-MS experiments on treated water samples and by analyzing authentic samples of the halohydrins prepared via unambiguous synthetic procedures based upon the early study of [11]. </s> 
PLoS ONE | <s> Therefore, in this study, we aimed to study whether loss of BMAL1 functions induces metabolic syndrome. </s> 
Entropy | <s> In this study, we aimed to evaluate the frequency and severity of bacterial exacerbations in COPD patients with BE. </s> 
PLoS ONE | <s> In the present study, we aimed to examine whether mitochondrial oxidative stress per see contributes to hepatic fibrogenesis under a physiological condition without significant hepatocellular injury, and to explore how high fat/calorie intake, which does not induce significant fibrosis by itself, affects the progression of steatohepatitis. </s> 
PLoS ONE | <s> Initially, we wanted to investigate the critical role of acid gradient in maintaining ATP levels during aerobic glycolysis. </s> 
PLoS ONE | <s> Additionally, we aimed to examine whether core illness severity ratings could explain the variance in mPFC activity in any regions identified as abnormal between patient and control groups. </s> 
International Journal of Molecular Sciences | <s> Secondly, we wanted to determine the potential modulation of NK cell-mediated cytolysis against ovarian cancer cells in the presence of pharmacologic EGFR-inhibition. </s> 
BioMed Research International | <s> Nevertheless, we were not studying the effect of interventions, but we wanted to explain the variance encountered in inpatient functional recovery after TKA. </s> 
PLoS ONE | <s> Protein-DNA hybrids Here we aimed to optimize the specific formation of a hybrid between MBP and DNA using ST-STN linkages (MBP-tST-STNtST-DNA). </s> 
Oxidative Medicine and Cellular Longevity | <s> In addition, we aimed to identify the domains of NS5A containing prooxidant activity. </s> 
PLoS ONE | <s> While this result suggested that Tl corresponds to the interacting locus, we wanted to exclude possible effects of genetic background. </s> 
International Journal of Reconfigurable Computing | <s> In a third experiment we wanted to answer this question. </s> 
Frontiers in Neural Circuits | <s> In particular, we aimed to manipulate the increase of cortisol triggered by light so as to induce greater and controllable rates of cortisol rise in response to otherwise similarly stressful events. </s> 
PLoS ONE | <s> Since EIF4A2 has been shown to co-purify with the CCR4-NOT1 deadenylation complex and to be involved in the translational repression mediated by the miRISC complex in some studies [50–52], we wanted to investigate the UPF2-EIF4A2 interaction further. </s> 
Frontiers in Human Neuroscience | <s> Here we aimed to investigate the influences of DRD2 TaqIA genotype on the modulation of interference processing by reward and punishment. </s> 
PLoS ONE | <s> Discussion Numerous studies have identified biomarkers and molecular signatures aimed at improving the diagnosis of mature T-cell lymphomas, herein we aimed to investigate shared molecular underpinnings that can be attributed to all subtypes. </s> 
Journal of Clinical and Analytical Medicine | <s> Here we aimed to report a thirty years old male who was diagnosed with community acquired pneumonia but further investigations revealed pulmonary embolism. </s> 
Annals of the University of Petrosani : Economics | <s> In this article, we wanted to present in detail the method of starting and terminating the procedure for opening insolvency proceedings of administrativeterritorial units, since the whole process is a very extensive one and cannot be the subject of a single paper-work. 3. </s> 
PLoS ONE | <s> Therefore, using data collected in a population-based sample of newly employed young workers with a wide spectrum of jobs (2011–2013), we aimed to estimate the associations between psychosocial work environment and musculoskeletal outcomes (widespread pain syndrome features and regional pain). </s> 
PLoS ONE | <s> Development of in vivo UCB-NK Cell Tracking Next, we aimed to establish a method using 111In-oxinate as radiolabel and SPECT-CT imaging that could be exploited both at the pre-clinical level in mice and for clinical studies in humans, to monitor early distribution of UCB-NK cell following infusion in relation to anti-leukemic potency in BM. </s> 
PLoS ONE | <s> Second, in a new version of the hands-free condition (hands-free distraction condition), we aimed to enhance perceptual distraction by placing red smileys on the table. </s> 
Remote Sensing | <s> Explanatory Power of the Spectral Bands For a better understanding of the whole classification process we wanted to figure out, which input variables (bands) are most relevant for tree species classification and particularly to investigate the role of the 4 new WorldView-2 bands Coastal, Yellow, Red Edge, and Near Infrared 2. </s> 
PLoS ONE | <s> We defined high myopia by an axial length of $26.5 mm in this study as well as in previous investigations [24,27], since we aimed to differentiate between medium myopic eyes without myopia associated stretching of the posterior pole and highly myopic eyes with myopic posterior stretching or enlargement of the posterior fundus. </s> 
PLoS Pathogens | <s> In addition, we wanted to compare the genetic changes identified by MLVA against detailed clinical features to determine the ability for MLVA to predict the primary site of inoculation. </s> 
K-12 STEM Education | <s> For this project, we wanted to see how difficult it would be to develop activities that followed UDL principles, and whether making those changes would make the activities better or worse for general use. </s> 
Iranian Journal of Psychiatry | <s> Hence, we aimed to investigate the cerebral cortex function in these patients, using quantitative electroencephalography analysis to obtain significant differences between them. </s> 
PLoS ONE | <s> Given that DENV C dimerized with host cell histones and the alpha-helical structure of the two proteins is almost identical, we next wanted to investigate whether C could disrupt histone-DNA binding. </s> 
PLoS ONE | <s> Second, we wanted to determine if blast exposure could increase ethanol intake in rats that are resistant to high voluntary alcohol intake under normal circumstances. </s> 
BMC Medical Research Methodology | <s> And then we also wanted to try to measure how fast, compared to the standard therapy, we have a faster closure and get into surgery faster, in order to stop, because the patients then heals. </s> 
ISPRS International Journal of Geo-Information | <s> For transferability, we aimed to find freely available data sourced from non-governmental, inter-governmental, and governmental institutions, as well as low-cost data, i.e. , commercial products provided by Google Earth. </s> 
PLoS ONE | <s> In particular, we wanted to investigate whether testosterone indeed modulates altruistic punishment tendencies as a means of ingroup norm enforcement or whether this relationship is rather limited to aggression against distant outgroup members when facing an intergroup conflict. </s> 
PLoS ONE | <s> Finally, we wanted to test the hypothesis if distributional parameters predict self-rated symptoms of inattention in aADHD. </s> 
PLoS ONE | <s> Thus we aimed to recruit at least 1000 children for the study. </s> 
PLoS ONE | <s> Hence, in the present study, we aimed to assess the association of albuminuria and retinopathy with MetS in Chinese community-based subjects and evaluate the contributive efficacy of various MetS defined criteria and the related metabolic components to the diabetic microvascular diseases. </s> 
PLoS ONE | <s> In the present study, we aimed to investigate the relationship between telomere length and adiposity using a longitudinal design, making use of prospectively gathered data from the Northern Finland Birth Cohort 1966 (NFBC 1966). </s> 
Drug Design, Development and Therapy | or in combination with 5-fluorouracil.19 Celecoxib is a COX2 inhibitor and has been shown to prevent colorectal polyps.20–22 It potently inhibits COX2 enzymatic activity and reduces the level of inflammatory prostaglandin.17–19 It can inhibit the cell growth of colorectal, gastric, and liver cancer cells and has been shown in clinical trials to decrease the size and the numbers of polyps in patients with familiar adenomatous polyposis.23–26 It also has inhibitory activity in several other cancer cell types.27,28 In this study we aimed to investigate the synergistic effect of As4S4 with JQ1, cisplatin, irinotecan, and celecoxib, four very distinct agents that have unique molecular mechanisms and regulate diverse signaling pathways. </s> 
PLoS ONE | <s> In this study we aimed to find GPCRs that are differentially expressed in node positive gastric cancers and hence may be considered as future targets for gastric cancer treatment. </s> 
Sensors | <s> Moreover, we wanted to recognize different eating and drinking gestures, partly according to the state of the art [ 16 , 27 ] and partly to obtain information that could be used in future to monitor food intake. </s> 
PLoS Medicine | <s> Statistical Methods As CKD can develop over many years and HIV-positive individuals are exposed to antiretrovirals for many years, we aimed to develop a risk score for predicting CKD over the medium term (5 y). </s> 
International Journal of Molecular Sciences | <s> In the study presented here, we aimed to examine effects of a linker length on aggregation of peptides containing multiple amyloidogenic domains. </s> 
PLoS Neglected Tropical Diseases | <s> In this study, we aimed to evaluate the clinical relevance of elevated AST and ALT levels and correlate liver aminotransferase levels with dengue severity according to WHO 1997 and 2009 classifications. </s> 
PLoS ONE | <s> In another series of experiments we wanted to determine whether the L-hammerhead ribozyme used in this study would be able to hydrolyze an L-DNA1 substrate, and if a D-hammerhead ribozyme would be able to hydrolyze a D-DNA1 substrate. </s> 
PLoS ONE | <s> To investigate if activin A exerts the same neuroprotective effect in vivo, we first aimed to establish a time course of 6-OHDA-mediated cell death. </s> 
PLoS ONE | <s> In this study, we aimed to analyse the association of MAVS single nucleotide polymorphisms (SNPs) with infectious diseases to assess the risk of viral infection based on MAVS variation. </s> 
Evidence-Based Complementary and Alternative Medicine | <s> In this study we aimed to detect whether EA stimulates remodeling of ECM by inhibiting apoptosis. </s> 
PLoS ONE | <s> To provide a foundation for the complexity of in vivo macrophage phenotypes, we aimed to define the gene signatures associated with murine in vitro M1/M2 macrophage differentiation. </s> 
PLoS ONE | <s> Cytokine homeostasis is not restored in response to treatment or during remission Since the homeostasis of systemic cytokines is disrupted in MM, we wanted to determine whether the cytokine profile returns to </s> 
PLoS ONE | <s> Finally, we wanted to assess whether the type of treatment received by MM patients affects the systemic cytokine profiles. </s> 
Journal of Pregnancy | <s> In this study, we aimed to evaluate the prevalence of FXII deficiency in women who were investigated for recurrent pregnancy loss (RPL) in a tertiary referral hospital. </s> 
Molecules | <s> Artificial Sialic Acids Influence Capillary Sprouting of HUVECs By use of a spheroid assay we wanted to elucidate whether the observed alteration in cell sialylation also affects physiological functions of endothelial cells such as vessel formation. </s> 
PLoS ONE | <s> Therefore, we wanted to continue investigations on the effects of weekly Prolastin therapy, with specific focus on changes in serum levels of MMP-9 and MPO. </s> 
PLoS ONE | <s> Discussion In this study we aimed to select two mimotopes defined by the HMW-MAA-specific mAbs VT80.12 and VF1-TP43 that should serve together with our previously described 225D9.2+ mimotope [12,13] as components of a polymimotope vaccine against melanoma. </s> 
Dentistry Journal | <s> As part of this pilot we wanted to test whether a daily diet could/should be used instead of individual foodstuffs and for testing toothpastes. </s> 
Publications | <s> To avoid another 20 year delay between updated editions, we aimed to publish two chapters per issue, updated and written as journal articles, as an enduring yet up-to-date resource. </s> 
PLoS Computational Biology | <s> In particular, we wanted to test whether this additional noise could cause performance under an optimal decision strategy (MAP) to appear sub-optimal (MATCH). </s> 
PLoS ONE | <s> In this study, we aimed to describe the primary healthcare utilisation among AYAs two years before a cancer diagnosis. </s> 
PLoS Computational Biology | <s> With this goal in mind, we wanted to compare Eq. (1) to patterns extracted from experiments. </s> 
Journal of Evolution of Medical and Dental Sciences | <s> To keep the study standardized, we wanted to give both the drug with similar routes. </s> 
